"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Unpaid/Unclaimed Dividends","0.2","0","0.3","0","0","0","0","0","0","0"
"Other Unpaid/Unclaimed Amounts","0","0.2","0.3","0.4","0.5","0.5","0.5","0.6","0.4","0.5"
"Advances from Customers","14.6","7","5.7","14.1","7","11.7","28.1","25.1","32.1","78.6"
"Security deposits received","0.1","1.3","1.5","1.1","0.9","1","1","0.9","0.7","0.7"
"Creditors for Capital Goods","3.9","11.9","10.9","9.2","3","7","10.1","22.6","20.3","17.8"
"Payable towards Excise & Service tax","8.1","10","0","0","0","0","0","0","0","0"
"Payable towards Other Statutory Dues","14","12.4","5.6","13.9","6.3","18.6","20.4","27.7","29.1","36.9"
"Deferred Revenue","0","0.2","1","2.7","3.9","4.5","4.8","8.4","9.9","12.8"
"Derivative Contract Payables","0","4.8","0.8","0.8","0","0","0","0","0","0"
"Retention money relating to Capital Expenditure","0","0","0","3.8","0.9","2.4","4.8","8","19.8","6.6"
"Other Payables","5.4","0","0","0","0","0","0","0.2","0.2","0.2"
"Short-Term Provisions","44","8.6","16.6","8.6","5.2","8.7","64.9","21.2","43.5","35.4"
"Provision for Employee Benefits","0.8","0.2","0.3","0.8","1.1","1.2","1.5","1.5","1.3","1.8"
"Provision for Gratuity","0.2","0.1","0.2","0.4","0.5","0.7","0.9","0.9","0.6","0.8"
"Provision for Compensated Absences","0.6","0.1","0.1","0.4","0.6","0.5","0.6","0.6","0.7","1"
"Others","43.2","8.4","16.4","7.8","4.1","7.4","63.4","19.7","42.3","33.6"
"Provision for Proposed Dividend on Equity Shares","23.4","0","0","0","0","0","0","0","0","0"
"Provision for Tax on Proposed Dividend","4.7","0","0","0","0","0","0","0","0","0"
"Provision for Taxation","15.1","8.4","16.4","7.8","4.1","7.4","63.4","19.7","42.3","33.6"
"Provision for Doubtful Loans","0","0","0","0","0","0","0","0","0","0"
"Total Current Liabilities","813.3","943.3","1128.3","1457","1224.7","1178.4","1429.3","2180.3","2495.4","2630.1"
"TOTAL EQUITY AND LIABILITIES","1660.4","1844.6","2181.2","2773.9","3266","3399","4452.4","5851.6","7186.8","7596.2"
"Fixed Assets","655.3","779.9","920.9","1061.1","1718.5","1843.4","2341","2954.4","3484","4003.4"
"Tangible Assets","619.9","630.8","848.7","1007.8","1471.1","1501.4","1604.1","2349.3","3030.6","3370.1"
"Gross Block","725.3","675.5","945.8","1162.6","1717.7","1837.7","2038.8","2907","3725.4","4242.5"
"Tangible Assets (not under Lease)","725.3","675.5","945.8","1162.6","1717.7","1837.7","2038.8","2907","3725.4","4242.5"
"Freehold Land","15","20.4","20.7","23.5","125.9","129.1","159.4","177.6","177.6","170.1"
"Leasehold Land","21.9","0","0","0","0","0","0","0","0","0"
"Buildings","153.6","148.5","195.3","248","353.4","362.1","385.3","579.9","831.1","932"
"Other Building","153.6","148.5","195.3","248","353.4","362.1","385.3","579.9","831.1","932"
"Plant and Equipment","520.5","493.8","710.7","867.8","1207.9","1302.1","1440.4","2090.8","2610","3010.8"
"Right of Use assets","","","","","","","","","",""
"Laboratories / Research & Development Equipment","0","0","0","0","0","0","0","0","0","0"
"Furnitures and Fixtures","4.4","4.7","6.5","8","9.6","10.5","13","14.1","52.8","57.1"
"Vehicles","5.4","5","8.6","9.4","12.2","23","26.5","27.5","28.2","38.8"
"Office Equipment","3.1","2","2.7","3.6","5.8","6.7","8.9","10.3","15.1","20.9"
"Computers/Data Processing Equipment","1.4","1","1.5","2.3","2.8","4.2","5.4","6.8","10.6","12.7"
"Tangible Assets (under Lease)","0","0","0","0","0","0","0","0","0","0"
"Accumulated Depreciation/Amortisation","105.4","44.6","97.2","154.8","246.6","336.3","434.6","557.7","694.8","872.4"
"Tangible Assets (not under Lease)","105.4","44.6","97.2","154.8","246.6","336.3","434.6","557.7","694.8","872.4"
"Leasehold Land","0.7","0","0","0","0","0","0","0","0","0"
"Buildings","16","4.8","10.8","17.8","29.6","41.8","55.4","70.7","92.7","121.4"
"Other Building","16","4.8","10.8","17.8","29.6","41.8","55.4","70.7","92.7","121.4"
"Plant and Equipment","83","37.8","81.7","129.2","205","278.9","358.7","458.9","565.8","700.6"
"Right of Use assets","","","","","","","","","",""
"Laboratories / Research & Development Equipment","0","0","0","0","0","0","0","0","0","0"
"Furnitures and Fixtures","1.1","0.5","1.1","2.1","3.4","4.7","6","7.2","9.7","14"
"Vehicles","2.2","0.7","1.8","2.9","4.3","4.8","6.7","10.5","12.9","18.5"
"Office Equipment","1.6","0.8","1.3","1.9","2.8","3.8","5","6.5","8.2","10"
"Computers/Data Processing Equipment","0.8","0.1","0.5","1","1.6","2.3","3","4","5.5","7.8"
"Tangible Assets (under Lease)","0","0","0","0","0","0","0","0","0","0"
"Impairment","0","0","0","0","0","0","0","0","0","0"
"Tangible Assets (not under Lease)","0","0","0","0","0","0","0","0","0","0"
"Buildings","0","0","0","0","0","0","0","0","0","0"
"Laboratories / Research & Development Equipment","0","0","0","0","0","0","0","0","0","0"
"Tangible Assets (under Lease)","0","0","0","0","0","0","0","0","0","0"
"Net Block","619.9","630.8","848.7","1007.8","1471.1","1501.4","1604.1","2349.3","3030.6","3370.1"
"Tangible Assets (not under Lease)","619.9","630.8","848.7","1007.8","1471.1","1501.4","1604.1","2349.3","3030.6","3370.1"
"Freehold Land","15","20.4","20.7","23.5","125.9","129.1","159.4","177.6","177.6","170.1"
"Leasehold Land","21.3","0","0","0","0","0","0","0","0","0"
"Buildings","137.6","143.7","184.5","230.3","323.9","320.3","329.9","509.2","738.4","810.6"
"Other Building","137.6","143.7","184.5","230.3","323.9","320.3","329.9","509.2","738.4","810.6"
"Plant and Equipment","437.5","456.1","629","738.6","1002.9","1023.2","1081.7","1631.9","2044.2","2310.2"
